# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Tue Jan  3 22:48:10 2017
#
# COLUMN kepid:          KepID
# COLUMN kepoi_name:     KOI Name
# COLUMN kepler_name:    Kepler Name
# COLUMN alt_name:       Confirmed Name
# COLUMN tm_designation: 2MASS Name
# COLUMN ra_str:         RA [sexagesimal]
# COLUMN ra:             RA [sexagesimal]
# COLUMN dec_str:        Dec [sexagesimal]
# COLUMN dec:            Dec [sexagesimal]
# COLUMN koi_list_flag:  Is in KOI List?
# COLUMN last_update:    Date of Last Update
#
rowid,kepid,kepoi_name,kepler_name,alt_name,tm_designation,ra_str,ra,dec_str,dec,koi_list_flag,last_update
25,10619192,K00203.01,Kepler-17 b,Kepler-17 b,2MASS J19533486+4748540,19h53m34.86s,298.395260,+47d48m54.0s,47.815010,YES,2013-03-05 0
26,8644288,K00137.03,Kepler-18 b,Kepler-18 b,2MASS J19521906+4444467,19h52m19.07s,298.079440,+44d44m46.7s,44.746319,YES,2013-03-05 0
27,8644288,K00137.01,Kepler-18 c,Kepler-18 c,2MASS J19521906+4444467,19h52m19.07s,298.079440,+44d44m46.7s,44.746319,YES,2013-03-05 0
28,8644288,K00137.02,Kepler-18 d,Kepler-18 d,2MASS J19521906+4444467,19h52m19.07s,298.079440,+44d44m46.7s,44.746319,YES,2013-03-05 0
29,2571238,K00084.01,Kepler-19 b,Kepler-19 b,2MASS J19214099+3751064,19h21m40.99s,290.420810,+37d51m06.5s,37.851799,YES,2013-03-05 0
30,2571238,,Kepler-19 c,Kepler-19 c,2MASS J19214099+3751064,19h21m40.99s,290.420810,+37d51m06.5s,37.851799,NO,2013-04-30 0
31,6850504,K00070.02,Kepler-20 b,Kepler-20 b,2MASS J19104752+4220194,19h10m47.52s,287.698000,+42d20m19.4s,42.338718,YES,2013-03-05 0
32,6850504,K00070.01,Kepler-20 c,Kepler-20 c,2MASS J19104752+4220194,19h10m47.52s,287.698000,+42d20m19.4s,42.338718,YES,2013-03-05 0
33,6850504,K00070.03,Kepler-20 d,Kepler-20 d,2MASS J19104752+4220194,19h10m47.52s,287.698000,+42d20m19.4s,42.338718,YES,2013-03-05 0
34,6850504,K00070.04,Kepler-20 e,Kepler-20 e,2MASS J19104752+4220194,19h10m47.52s,287.698000,+42d20m19.4s,42.338718,YES,2013-03-05 0
35,6850504,K00070.05,Kepler-20 f,Kepler-20 f,2MASS J19104752+4220194,19h10m47.52s,287.698000,+42d20m19.4s,42.338718,YES,2013-03-05 0
36,3632418,K00975.01,Kepler-21 b,Kepler-21 b,2MASS J19092683+3842505,19h09m26.84s,287.361820,+38d42m50.5s,38.714016,YES,2013-03-05 0
37,10593626,K00087.01,Kepler-22 b,Kepler-22 b,2MASS J19165219+4753040,19h16m52.20s,289.217500,+47d53m04.1s,47.884460,YES,2013-03-05 0
38,11512246,K00168.03,Kepler-23 b,Kepler-23 b,2MASS J19365254+4928452,19h36m52.54s,294.218930,+49d28m45.2s,49.479221,YES,2013-03-05 0
39,11512246,K00168.01,Kepler-23 c,Kepler-23 c,2MASS J19365254+4928452,19h36m52.54s,294.218930,+49d28m45.2s,49.479221,YES,2013-03-05 0
40,11512246,K00168.02,Kepler-23 d,Kepler-23 d,2MASS J19365254+4928452,19h36m52.54s,294.218930,+49d28m45.2s,49.479221,YES,2014-02-26 0
41,3231341,K01102.02,Kepler-24 b,Kepler-24 b,2MASS J19213918+3820375,19h21m39.18s,290.413270,+38d20m37.5s,38.343750,YES,2013-03-05 0
42,3231341,K01102.01,Kepler-24 c,Kepler-24 c,2MASS J19213918+3820375,19h21m39.18s,290.413270,+38d20m37.5s,38.343750,YES,2013-03-05 0
43,3231341,K01102.04,Kepler-24 d,Kepler-24 d,2MASS J19213918+3820375,19h21m39.18s,290.413270,+38d20m37.5s,38.343750,YES,2014-02-26 0
44,3231341,K01102.03,Kepler-24 e,Kepler-24 e,2MASS J19213918+3820375,19h21m39.18s,290.413270,+38d20m37.5s,38.343750,YES,2014-02-26 0
45,4349452,K00244.02,Kepler-25 b,Kepler-25 b,2MASS J19063321+3929164,19h06m33.22s,286.638400,+39d29m16.4s,39.487881,YES,2013-03-05 0
46,4349452,K00244.01,Kepler-25 c,Kepler-25 c,2MASS J19063321+3929164,19h06m33.22s,286.638400,+39d29m16.4s,39.487881,YES,2013-03-05 0
47,4349452,K00244.10,Kepler-25 d,Kepler-25 d,2MASS J19063321+3929164,19h06m33.22s,286.638400,+39d29m16.4s,39.487881,NO,2014-01-06 0
48,9757613,K00250.01,Kepler-26 b,Kepler-26 b,2MASS J18594583+4633595,18h59m45.84s,284.940980,+46d33m59.5s,46.566540,YES,2013-03-05 0
49,9757613,K00250.02,Kepler-26 c,Kepler-26 c,2MASS J18594583+4633595,18h59m45.84s,284.940980,+46d33m59.5s,46.566540,YES,2013-03-05 0
50,9757613,K00250.03,Kepler-26 d,Kepler-26 d,2MASS J18594583+4633595,18h59m45.84s,284.940980,+46d33m59.5s,46.566540,YES,2014-02-26 0
51,9757613,K00250.04,Kepler-26 e,Kepler-26 e,2MASS J18594583+4633595,18h59m45.84s,284.940980,+46d33m59.5s,46.566540,YES,2014-02-26 0
52,5792202,K00841.01,Kepler-27 b,Kepler-27 b,2MASS J19285682+4105091,19h28m56.82s,292.236760,+41d05m09.2s,41.085880,YES,2013-03-05 0
53,5792202,K00841.02,Kepler-27 c,Kepler-27 c,2MASS J19285682+4105091,19h28m56.82s,292.236760,+41d05m09.2s,41.085880,YES,2013-03-05 0
54,6949607,K00870.01,Kepler-28 b,Kepler-28 b,2MASS J19283288+4225459,19h28m32.88s,292.137020,+42d25m45.9s,42.429420,YES,2013-03-05 0
55,6949607,K00870.02,Kepler-28 c,Kepler-28 c,2MASS J19283288+4225459,19h28m32.88s,292.137020,+42d25m45.9s,42.429420,YES,2013-03-05 0
56,10358759,K00738.01,Kepler-29 b,Kepler-29 b,2MASS J19532359+4729284,19h53m23.60s,298.348330,+47d29m28.4s,47.491230,YES,2013-03-05 0
57,10358759,K00738.02,Kepler-29 c,Kepler-29 c,2MASS J19532359+4729284,19h53m23.60s,298.348330,+47d29m28.4s,47.491230,YES,2013-03-05 0
58,3832474,K00806.03,Kepler-30 b,Kepler-30 b,2MASS J19010807+3856502,19h01m08.07s,285.283630,+38d56m50.2s,38.947281,YES,2013-03-05 0
59,3832474,K00806.02,Kepler-30 c,Kepler-30 c,2MASS J19010807+3856502,19h01m08.07s,285.283630,+38d56m50.2s,38.947281,YES,2013-03-05 0
60,3832474,K00806.01,Kepler-30 d,Kepler-30 d,2MASS J19010807+3856502,19h01m08.07s,285.283630,+38d56m50.2s,38.947281,YES,2013-03-05 0
61,9347899,K00935.01,Kepler-31 b,Kepler-31 b,2MASS J19360552+4551110,19h36m05.52s,294.023010,+45d51m11.1s,45.853081,YES,2013-03-05 0
62,9347899,K00935.02,Kepler-31 c,Kepler-31 c,2MASS J19360552+4551110,19h36m05.52s,294.023010,+45d51m11.1s,45.853081,YES,2013-03-05 0
63,9347899,K00935.03,Kepler-31 d,Kepler-31 d,2MASS J19360552+4551110,19h36m05.52s,294.023010,+45d51m11.1s,45.853081,YES,2014-02-26 0
64,9787239,K00952.01,Kepler-32 b,Kepler-32 b,2MASS J19512217+4634273,19h51m22.18s,297.842410,+46d34m27.4s,46.574268,YES,2013-03-05 0
65,9787239,K00952.02,Kepler-32 c,Kepler-32 c,2MASS J19512217+4634273,19h51m22.18s,297.842410,+46d34m27.4s,46.574268,YES,2013-03-05 0
66,9787239,K00952.03,Kepler-32 d,Kepler-32 d,2MASS J19512217+4634273,19h51m22.18s,297.842410,+46d34m27.4s,46.574268,YES,2013-03-05 0
67,9787239,K00952.04,Kepler-32 e,Kepler-32 e,2MASS J19512217+4634273,19h51m22.18s,297.842410,+46d34m27.4s,46.574268,YES,2013-03-05 0
68,9787239,K00952.05,Kepler-32 f,Kepler-32 f,2MASS J19512217+4634273,19h51m22.18s,297.842410,+46d34m27.4s,46.574268,YES,2013-03-05 0
69,9458613,K00707.05,Kepler-33 b,Kepler-33 b,2MASS J19161861+4600187,19h16m18.61s,289.077550,+46d00m18.8s,46.005219,YES,2013-03-05 0
70,9458613,K00707.04,Kepler-33 c,Kepler-33 c,2MASS J19161861+4600187,19h16m18.61s,289.077550,+46d00m18.8s,46.005219,YES,2013-03-05 0
71,9458613,K00707.01,Kepler-33 d,Kepler-33 d,2MASS J19161861+4600187,19h16m18.61s,289.077550,+46d00m18.8s,46.005219,YES,2013-03-05 0
72,9458613,K00707.03,Kepler-33 e,Kepler-33 e,2MASS J19161861+4600187,19h16m18.61s,289.077550,+46d00m18.8s,46.005219,YES,2013-03-05 0
73,9458613,K00707.02,Kepler-33 f,Kepler-33 f,2MASS J19161861+4600187,19h16m18.61s,289.077550,+46d00m18.8s,46.005219,YES,2013-03-05 0
74,8572936,K02459.02,Kepler-34 b,Kepler-34 b,2MASS J19454459+4438296,19h45m44.60s,296.435820,+44d38m29.6s,44.641560,NO,2013-03-05 0
75,9837578,K02937.02,Kepler-35 b,Kepler-35 b,2MASS J19375927+4641231,19h37m59.28s,294.496980,+46d41m23.1s,46.689758,NO,2013-03-05 0
76,11401755,K00277.02,Kepler-36 b,Kepler-36 b,2MASS J19250004+4913545,19h25m00.04s,291.250180,+49d13m54.6s,49.231834,YES,2013-03-05 0
77,11401755,K00277.01,Kepler-36 c,Kepler-36 c,2MASS J19250004+4913545,19h25m00.04s,291.250180,+49d13m54.6s,49.231834,YES,2013-03-05 0
78,8478994,K00245.03,Kepler-37 b,Kepler-37 b,2MASS J18561431+4431052,18h56m14.29s,284.059540,+44d31m05.6s,44.518215,YES,2013-03-05 0
79,8478994,K00245.02,Kepler-37 c,Kepler-37 c,2MASS J18561431+4431052,18h56m14.29s,284.059540,+44d31m05.6s,44.518215,YES,2013-03-05 0
80,8478994,K00245.01,Kepler-37 d,Kepler-37 d,2MASS J18561431+4431052,18h56m14.29s,284.059540,+44d31m05.6s,44.518215,YES,2013-03-05 0
81,8478994,K00245.04,Kepler-37 e,Kepler-37 e,2MASS J18561431+4431052,18h56m14.29s,284.059540,+44d31m05.6s,44.518215,YES,2014-05-28 0
82,6762829,K01740.02,Kepler-38 b,Kepler-38 b,2MASS J19071928+4216451,19h07m19.28s,286.830350,+42d16m45.1s,42.279202,NO,2013-03-05 0
83,9478990,K00423.01,Kepler-39 b,Kepler-39 b,2MASS J19475046+4602034,19h47m50.46s,296.960270,+46d02m03.5s,46.034302,YES,2013-03-05 0
84,10418224,K00428.01,Kepler-40 b,Kepler-40 b,2MASS J19471528+4731357,19h47m15.29s,296.813690,+47d31m35.8s,47.526611,YES,2013-03-05 0
85,9410930,K00196.01,Kepler-41 b,Kepler-41 b,2MASS J19380317+4558539,19h38m03.18s,294.513240,+45d58m53.9s,45.981640,YES,2013-03-05 0
86,8561063,K00961.01,Kepler-42 b,Kepler-42 b,2MASS J19285255+4437096,19h28m52.57s,292.219060,+44d37m09.0s,44.619160,YES,2013-03-05 0
87,8561063,K00961.02,Kepler-42 c,Kepler-42 c,2MASS J19285255+4437096,19h28m52.57s,292.219060,+44d37m09.0s,44.619160,YES,2013-03-05 0
88,8561063,K00961.03,Kepler-42 d,Kepler-42 d,2MASS J19285255+4437096,19h28m52.57s,292.219060,+44d37m09.0s,44.619160,YES,2013-03-05 0
89,9818381,K00135.01,Kepler-43 b,Kepler-43 b,2MASS J19005780+4640057,19h00m57.80s,285.240840,+46d40m05.7s,46.668251,YES,2013-03-05 0
90,9305831,K00204.01,Kepler-44 b,Kepler-44 b,2MASS J20002456+4545437,20h00m24.57s,300.102360,+45d45m43.7s,45.762138,YES,2013-03-05 0
91,5794240,K00254.01,Kepler-45 b,Kepler-45 b,2MASS J19312949+4103513,19h31m29.49s,292.872890,+41d03m51.4s,41.064270,YES,2013-03-05 0
92,7109675,K00872.01,Kepler-46 b,Kepler-46 b,2MASS J19170449+4236150,19h17m04.50s,289.268740,+42d36m15.0s,42.604172,YES,2013-03-05 0
93,7109675,,Kepler-46 c,Kepler-46 c,2MASS J19170449+4236150,19h17m04.50s,289.268740,+42d36m15.0s,42.604172,NO,2013-03-05 0
94,7109675,K00872.02,Kepler-46 d,Kepler-46 d,2MASS J19170449+4236150,19h17m04.50s,289.268740,+42d36m15.0s,42.604172,YES,2014-02-26 0
95,10020423,,Kepler-47 b,Kepler-47 b,2MASS J19411149+4655136,19h41m11.50s,295.297910,+46d55m13.7s,46.920471,NO,2013-03-05 0
96,10020423,,Kepler-47 c,Kepler-47 c,2MASS J19411149+4655136,19h41m11.50s,295.297910,+46d55m13.7s,46.920471,NO,2013-03-05 0
97,5735762,K00148.01,Kepler-48 b,Kepler-48 b,2MASS J19563341+4056564,19h56m33.41s,299.139220,+40d56m56.5s,40.949020,YES,2013-03-05 0
98,5735762,K00148.02,Kepler-48 c,Kepler-48 c,2MASS J19563341+4056564,19h56m33.41s,299.139220,+40d56m56.5s,40.949020,YES,2013-03-05 0
99,5735762,K00148.03,Kepler-48 d,Kepler-48 d,2MASS J19563341+4056564,19h56m33.41s,299.139220,+40d56m56.5s,40.949020,YES,2014-01-06 0
100,5735762,K00148.10,Kepler-48 e,Kepler-48 e,2MASS J19563341+4056564,19h56m33.41s,299.139220,+40d56m56.5s,40.949020,NO,2014-01-06 0
101,5364071,K00248.01,Kepler-49 b,Kepler-49 b,2MASS J19291070+4035304,19h29m10.70s,292.294590,+40d35m30.4s,40.591789,YES,2013-03-05 0
102,5364071,K00248.02,Kepler-49 c,Kepler-49 c,2MASS J19291070+4035304,19h29m10.70s,292.294590,+40d35m30.4s,40.591789,YES,2013-03-05 0
103,5364071,K00248.03,Kepler-49 d,Kepler-49 d,2MASS J19291070+4035304,19h29m10.70s,292.294590,+40d35m30.4s,40.591789,YES,2014-02-26 0
104,5364071,K00248.04,Kepler-49 e,Kepler-49 e,2MASS J19291070+4035304,19h29m10.70s,292.294590,+40d35m30.4s,40.591789,YES,2014-02-26 0
105,11807274,K00262.01,Kepler-50 b,Kepler-50 b,2MASS J19122420+5002013,19h12m24.21s,288.100860,+50d02m01.4s,50.033718,YES,2013-03-05 0
106,11807274,K00262.02,Kepler-50 c,Kepler-50 c,2MASS J19122420+5002013,19h12m24.21s,288.100860,+50d02m01.4s,50.033718,YES,2013-03-05 0
107,11773022,K00620.01,Kepler-51 b,Kepler-51 b,2MASS J19455514+4956156,19h45m55.14s,296.479770,+49d56m15.6s,49.937679,YES,2013-03-05 0
108,11773022,K00620.03,Kepler-51 c,Kepler-51 c,2MASS J19455514+4956156,19h45m55.14s,296.479770,+49d56m15.6s,49.937679,YES,2013-03-05 0
109,11773022,K00620.02,Kepler-51 d,KOI-620.02,2MASS J19455514+4956156,19h45m55.14s,296.479770,+49d56m15.6s,49.937679,YES,2014-01-16 0
110,11754553,K00775.02,Kepler-52 b,Kepler-52 b,2MASS J19065712+4958327,19h06m57.13s,286.738040,+49d58m32.7s,49.975750,YES,2013-03-05 0
111,11754553,K00775.01,Kepler-52 c,Kepler-52 c,2MASS J19065712+4958327,19h06m57.13s,286.738040,+49d58m32.7s,49.975750,YES,2013-03-05 0
112,11754553,K00775.03,Kepler-52 d,Kepler-52 d,2MASS J19065712+4958327,19h06m57.13s,286.738040,+49d58m32.7s,49.975750,YES,2014-02-26 0
113,5358241,K00829.01,Kepler-53 b,Kepler-53 b,2MASS J19215082+4033448,19h21m50.82s,290.461760,+40d33m44.9s,40.562462,YES,2013-03-05 0
114,5358241,K00829.03,Kepler-53 c,Kepler-53 c,2MASS J19215082+4033448,19h21m50.82s,290.461760,+40d33m44.9s,40.562462,YES,2013-03-05 0
115,5358241,K00829.02,Kepler-53 d,Kepler-53 d,2MASS J19215082+4033448,19h21m50.82s,290.461760,+40d33m44.9s,40.562462,YES,2014-02-26 0
116,7455287,K00886.01,Kepler-54 b,Kepler-54 b,2MASS J19390574+4303226,19h39m05.74s,294.773930,+43d03m22.7s,43.056301,YES,2013-03-05 0
117,7455287,K00886.02,Kepler-54 c,Kepler-54 c,2MASS J19390574+4303226,19h39m05.74s,294.773930,+43d03m22.7s,43.056301,YES,2013-03-05 0
118,7455287,K00886.03,Kepler-54 d,Kepler-54 d,2MASS J19390574+4303226,19h39m05.74s,294.773930,+43d03m22.7s,43.056301,YES,2014-02-26 0
119,8150320,K00904.02,Kepler-55 b,Kepler-55 b,2MASS J19004040+4401352,19h00m40.40s,285.168330,+44d01m35.3s,44.026459,YES,2013-03-05 0
120,8150320,K00904.03,Kepler-55 c,Kepler-55 c,2MASS J19004040+4401352,19h00m40.40s,285.168330,+44d01m35.3s,44.026459,YES,2013-03-05 0
121,8150320,K00904.01,Kepler-55 d,Kepler-55 d,2MASS J19004040+4401352,19h00m40.40s,285.168330,+44d01m35.3s,44.026459,YES,2014-02-26 0
122,8150320,K00904.04,Kepler-55 e,Kepler-55 e,2MASS J19004040+4401352,19h00m40.40s,285.168330,+44d01m35.3s,44.026459,YES,2014-02-26 0
123,8150320,K00904.05,Kepler-55 f,Kepler-55 f,2MASS J19004040+4401352,19h00m40.40s,285.168330,+44d01m35.3s,44.026459,YES,2014-02-26 0
124,6448890,K01241.02,Kepler-56 b,Kepler-56 b,2MASS J19350200+4152187,19h35m02.01s,293.758360,+41d52m18.7s,41.871868,YES,2013-03-05 0
125,6448890,K01241.01,Kepler-56 c,Kepler-56 c,2MASS J19350200+4152187,19h35m02.01s,293.758360,+41d52m18.7s,41.871868,YES,2013-03-05 0
126,6448890,,Kepler-56 d,Kepler-56 d,2MASS J19350200+4152187,19h35m02.01s,293.758360,+41d52m18.7s,41.871868,NO,2016-10-13 0
127,8564587,K01270.01,Kepler-57 b,Kepler-57 b,2MASS J19343390+4439253,19h34m33.91s,293.641300,+44d39m25.3s,44.657040,YES,2013-03-05 0
128,8564587,K01270.02,Kepler-57 c,Kepler-57 c,2MASS J19343390+4439253,19h34m33.91s,293.641300,+44d39m25.3s,44.657040,YES,2013-03-05 0
129,4077526,K01336.01,Kepler-58 b,Kepler-58 b,2MASS J19452607+3906546,19h45m26.08s,296.358670,+39d06m54.7s,39.115189,YES,2013-03-05 0
130,4077526,K01336.02,Kepler-58 c,Kepler-58 c,2MASS J19452607+3906546,19h45m26.08s,296.358670,+39d06m54.7s,39.115189,YES,2013-03-05 0
131,4077526,K01336.03,Kepler-58 d,Kepler-58 d,2MASS J19452607+3906546,19h45m26.08s,296.358670,+39d06m54.7s,39.115189,YES,2014-02-26 0
132,9821454,K01529.02,Kepler-59 b,Kepler-59 b,2MASS J19080948+4638244,19h08m09.48s,287.039520,+46d38m24.5s,46.640129,YES,2013-03-05 0
133,9821454,K01529.01,Kepler-59 c,Kepler-59 c,2MASS J19080948+4638244,19h08m09.48s,287.039520,+46d38m24.5s,46.640129,YES,2013-03-05 0
134,6768394,K02086.01,Kepler-60 b,Kepler-60 b,2MASS J19155069+4215540,19h15m50.70s,288.961240,+42d15m54.0s,42.265011,YES,2013-03-05 0
135,6768394,K02086.02,Kepler-60 c,Kepler-60 c,2MASS J19155069+4215540,19h15m50.70s,288.961240,+42d15m54.0s,42.265011,YES,2013-03-05 0
136,6768394,K02086.03,Kepler-60 d,Kepler-60 d,2MASS J19155069+4215540,19h15m50.70s,288.961240,+42d15m54.0s,42.265011,YES,2013-03-05 0
137,6960913,K01361.01,Kepler-61 b,Kepler-61 b,2MASS J19411308+4228310,19h41m13.08s,295.304500,+42d28m31.0s,42.475288,YES,2013-04-30 0
138,9002278,K00701.02,Kepler-62 b,Kepler-62 b,2MASS J18525105+4520595,18h52m51.06s,283.212740,+45d20m59.5s,45.349861,YES,2013-04-18 0
139,9002278,K00701.05,Kepler-62 c,Kepler-62 c,2MASS J18525105+4520595,18h52m51.06s,283.212740,+45d20m59.5s,45.349861,YES,2013-04-18 0
140,9002278,K00701.01,Kepler-62 d,Kepler-62 d,2MASS J18525105+4520595,18h52m51.06s,283.212740,+45d20m59.5s,45.349861,YES,2013-04-18 0
141,9002278,K00701.03,Kepler-62 e,Kepler-62 e,2MASS J18525105+4520595,18h52m51.06s,283.212740,+45d20m59.5s,45.349861,YES,2013-04-18 0
142,9002278,K00701.04,Kepler-62 f,Kepler-62 f,2MASS J18525105+4520595,18h52m51.06s,283.212740,+45d20m59.5s,45.349861,YES,2013-04-18 0
143,11554435,K00063.01,Kepler-63 b,Kepler-63 b,2MASS J19165428+4932535,19h16m54.28s,289.226170,+49d32m53.5s,49.548199,YES,2013-08-08 0
144,4862625,,Kepler-64 b,PH1 b,2MASS J19525162+3957183,19h52m51.62s,298.215090,+39d57m18.4s,39.955101,NO,2013-03-28 0
145,5866724,K00085.02,Kepler-65 b,Kepler-65 b,2MASS J19144528+4109042,19h14m45.29s,288.688690,+41d09m04.2s,41.151180,YES,2013-04-30 0
146,5866724,K00085.01,Kepler-65 c,Kepler-65 c,2MASS J19144528+4109042,19h14m45.29s,288.688690,+41d09m04.2s,41.151180,YES,2013-04-30 0
147,5866724,K00085.03,Kepler-65 d,Kepler-65 d,2MASS J19144528+4109042,19h14m45.29s,288.688690,+41d09m04.2s,41.151180,YES,2013-04-30 0
148,9836149,K01958.01,Kepler-66 b,Kepler-66 b,2MASS J19355557+4641158,19h35m55.58s,293.981570,+46d41m15.9s,46.687752,YES,2013-06-27 0
149,9532052,K02115.01,Kepler-67 b,Kepler-67 b,2MASS J19363680+4609591,19h36m36.80s,294.153320,+46d09m59.2s,46.166439,YES,2013-06-27 0
150,11295426,K00246.01,Kepler-68 b,Kepler-68 b,2MASS J19240775+4902249,19h24m07.76s,291.032320,+49d02m25.0s,49.040272,YES,2013-03-05 0
151,11295426,K00246.02,Kepler-68 c,Kepler-68 c,2MASS J19240775+4902249,19h24m07.76s,291.032320,+49d02m25.0s,49.040272,YES,2013-03-05 0
152,11295426,K00246.20,Kepler-68 d,Kepler-68 d,2MASS J19240775+4902249,19h24m07.76s,291.032320,+49d02m25.0s,49.040272,NO,2013-03-05 0
153,8692861,K00172.01,Kepler-69 b,Kepler-69 b,2MASS J19330262+4452080,19h33m02.62s,293.260930,+44d52m08.0s,44.868889,YES,2013-04-18 0
154,8692861,K00172.02,Kepler-69 c,Kepler-69 c,2MASS J19330262+4452080,19h33m02.62s,293.260930,+44d52m08.0s,44.868889,YES,2013-04-18 0
155,5807616,,Kepler-70 b,KOI-55 b,2MASS J19452546+4105339,19h45m25.46s,296.356080,+41d05m33.9s,41.092751,NO,2013-03-05 0
156,5807616,,Kepler-70 c,KOI-55 c,2MASS J19452546+4105339,19h45m25.46s,296.356080,+41d05m33.9s,41.092751,NO,2013-03-05 0
157,9595827,K00217.01,Kepler-71 b,KOI-217 b,2MASS J19392772+4617090,19h39m27.72s,294.865510,+46d17m09.1s,46.285851,YES,2013-03-05 0
158,6046540,K00200.01,Kepler-74 b,Kepler-74 b,2MASS J19322220+4121198,19h32m22.21s,293.092530,+41d21m19.9s,41.355518,YES,2013-04-30 0
